Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-10-13 16:14:22.244614,4164.99999958,0,4150.06060565,0,4133.57575716,0,4168.09090867,0,4158.8181814,0,4183.03030261,0,4159.84848443,0,4169.1212117,0,4169.63636322,0,4159.33333292,0,4150.57575716,0,4155.2121208,0,4141.30302989,0,4127.9090905,0,42.0,42.0,?
2017-10-13 16:14:22.244675,4025.39393899,0,4095.45454505,0,4039.81818141,0,4170.66666625,0,4202.09090867,0,4170.15151473,0,4153.15151474,0,4187.15151473,1743.2727271,4120.69696928,0,4139.75757534,0,4144.90909049,0,4119.15151474,0,4159.33333292,0,4202.60606019,0,42.0,42.0,?
2017-10-13 16:14:22.245521,4026.93939354,0,4095.96969656,0,4039.3030299,0,4163.96969655,0,4202.60606019,0,4169.63636322,0,4169.63636322,0,4202.09090867,1743.2727271,4126.87878747,370.909090872,4141.8181814,0,4144.39393898,0,4122.24242383,0,4158.30302989,0,4201.57575716,0,42.0,42.0,?
2017-10-13 16:14:22.246093,4033.12121172,0,4100.6060602,0,4045.48484808,0,4176.33333292,0,4205.18181776,0,4175.8181814,0,4180.45454504,0,4199.5151511,1743.2727271,4125.84848444,370.909090872,4135.63636322,1772.12121194,4147.48484807,0,4123.27272686,0,4165.5151511,0,4205.69696928,0,42.0,42.0,?
2017-10-13 16:14:22.247135,4040.33333293,0,4103.18181777,0,4051.15151475,0,4183.54545413,0,4207.24242382,0,4183.03030261,0,4177.87878746,0,4183.03030261,1743.2727271,4119.15151474,370.909090872,4130.48484807,1772.12121194,4148.5151511,1434.18181804,4123.27272686,0,4172.72727231,0,4210.84848443,0,42.0,42.0,?
2017-10-13 16:14:22.248594,4042.9090905,0,4100.6060602,0,4042.9090905,0,4173.75757534,0,4206.21212079,0,4189.72727231,0,4177.36363595,0,4184.06060564,1743.2727271,4123.78787838,370.909090872,4137.18181777,1772.12121194,4145.42424201,1434.18181804,4126.36363595,3053.81818151,4173.75757534,0,4211.36363594,0,42.0,42.0,?
2017-10-13 16:14:22.249289,4042.9090905,0,4094.93939353,0,4035.69696929,0,4163.96969655,0,4203.63636322,0,4186.1212117,0,4177.36363595,0,4192.8181814,1743.2727271,4123.27272686,370.909090872,4132.03030262,1772.12121194,4138.2121208,1434.18181804,4121.72727232,3053.81818151,4167.06060564,1425.9393938,4203.63636322,0,42.0,42.0,?
2017-10-13 16:14:22.250192,4039.3030299,0,4088.75757535,0,4036.72727232,0,4164.99999958,0,4201.06060564,0,4178.39393898,0,4177.36363595,0,4183.54545413,1743.2727271,4112.96969656,370.909090872,4116.06060565,1776.24242406,4133.06060565,1434.18181804,4113.48484807,3053.81818151,4154.69696928,1425.9393938,4193.84848443,0,42.0,42.0,?
2017-10-13 16:14:22.251516,4041.36363596,0,4083.09090868,0,4036.21212081,0,4170.66666625,0,4206.21212079,0,4185.60606019,0,4174.78787837,0,4183.03030261,1743.2727271,4118.12121171,370.909090872,4124.81818141,1776.24242406,4138.2121208,1438.30303016,4120.18181777,3053.81818151,4157.78787837,1425.9393938,4194.87878746,0,42.0,42.0,?
2017-10-13 16:14:22.252413,4052.69696929,0,4084.63636323,0,4040.84848444,0,4175.8181814,0,4215.48484806,0,4198.99999958,0,4168.09090867,0,4202.09090867,1743.2727271,4137.18181777,370.909090872,4143.87878746,1776.24242406,4143.87878746,1438.30303016,4127.9090905,3053.81818151,4174.78787837,1425.9393938,4204.66666625,0,42.0,42.0,?
2017-10-13 16:14:22.260591,4057.33333293,0,4093.39393898,0,4047.03030263,0,4164.99999958,0,4211.87878746,0,4201.06060564,0,4173.75757534,0,4204.15151473,1743.2727271,4141.30302989,370.909090872,4140.78787837,1776.24242406,4140.27272686,1438.30303016,4125.33333292,3053.81818151,4176.33333292,1425.9393938,4209.30302988,0,42.0,42.0,?
2017-10-13 16:14:22.269065,4054.24242384,0,4095.96969656,0,4041.87878747,0,4153.15151474,0,4203.63636322,0,4193.84848443,0,4175.8181814,0,4196.93939352,1743.2727271,4141.8181814,370.909090872,4138.72727231,1776.24242406,4146.45454504,1438.30303016,4124.81818141,3053.81818151,4167.06060564,1425.9393938,4207.24242382,0,42.0,42.0,?
2017-10-13 16:14:22.274109,4055.78787838,0,4085.15151474,0,4032.09090869,0,4163.96969655,0,4204.66666625,0,4187.66666625,0,4158.8181814,0,4203.63636322,1743.2727271,4158.8181814,370.909090872,4145.93939352,1776.24242406,4158.30302989,1438.30303016,4126.87878747,3053.81818151,4162.93939352,1425.9393938,4205.18181776,0,42.0,42.0,?
2017-10-13 16:14:22.282229,4056.3030299,0,4074.84848444,0,4031.06060566,0,4170.66666625,0,4203.63636322,0,4185.60606019,0,4150.06060565,0,4211.36363594,1743.2727271,4167.06060564,370.909090872,4143.87878746,1776.24242406,4154.18181777,1438.30303016,4124.81818141,3053.81818151,4158.30302989,1425.9393938,4201.06060564,0,42.0,42.0,?
2017-10-13 16:14:22.290112,4057.33333293,0,4077.42424202,0,4037.24242384,0,4159.84848443,0,4194.36363594,0,4186.1212117,0,4154.18181777,0,4200.54545413,1743.2727271,4154.18181777,370.909090872,4129.96969656,1776.24242406,4150.06060565,1438.30303016,4124.30302989,3053.81818151,4147.48484807,1425.9393938,4200.54545413,0,42.0,42.0,?
