Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-10-13 15:45:32.594573,4137.18181777,0,4116.57575716,0,4101.12121171,0,4185.09090867,0,4171.18181776,0,4185.09090867,0,4139.24242383,0,4163.96969655,0,4346.3333329,0,4086.18181777,0,4182.5151511,0,4106.78787838,0,4158.8181814,0,4184.57575716,0,42.0,42.0,?
2017-10-13 15:45:32.595024,4076.9090905,0,4252.57575715,0,4273.18181775,0,4073.81818141,0,4157.78787837,0,4094.93939353,0,4124.81818141,0,4174.27272686,0,4065.57575717,0,4240.7272723,0,4475.12121167,0,4228.36363594,0,4056.3030299,0,4192.30302988,0,42.0,42.0,?
2017-10-13 15:45:32.595233,4081.54545414,0,4217.54545412,0,4246.39393897,0,4079.48484808,0,4158.8181814,0,4094.42424201,0,4124.81818141,0,4171.18181776,0,4064.03030262,0,4225.78787837,0,4449.87878743,0,4220.63636321,0,4051.66666626,0,4184.06060564,0,42.0,42.0,?
2017-10-13 15:45:32.595363,4085.15151474,0,4217.03030261,0,4230.93939352,0,4078.96969656,0,4159.84848443,0,4091.33333292,0,4126.87878747,0,4173.24242383,0,4069.69696929,0,4221.66666624,0,4430.30302986,0,4219.60606018,0,4051.66666626,0,4181.48484807,0,42.0,42.0,?
2017-10-13 15:45:32.596187,4079.99999959,0,4229.90909049,0,4266.99999957,0,4072.27272687,0,4143.36363595,0,4090.30302989,0,4127.9090905,0,4170.66666625,0,4069.69696929,0,4232.48484806,0,4459.15151471,0,4223.7272723,0,4055.78787838,0,4190.75757534,0,42.0,42.0,?
2017-10-13 15:45:32.598677,4074.84848444,3700.84848448,4232.48484806,0,4281.424242,0,4073.81818141,0,4141.30302989,0,4089.27272686,0,4126.87878747,0,4162.42424201,0,4069.18181777,0,4226.8181814,0,4468.42424198,0,4222.18181776,0,4061.45454505,0,4192.30302988,0,42.0,42.0,?
2017-10-13 15:45:32.598856,4084.12121171,3700.84848448,4231.96969655,4162.42424201,4258.75757533,0,4078.96969656,0,4157.27272686,0,4089.27272686,0,4125.33333292,0,4163.96969655,0,4068.15151474,0,4215.48484806,0,4442.15151471,0,4216.51515109,0,4064.03030262,0,4188.18181776,0,42.0,42.0,?
2017-10-13 15:45:32.599184,4092.87878747,3700.84848448,4227.33333291,4162.42424201,4259.78787836,0,4082.06060565,0,4160.36363595,0,4091.33333292,0,4125.84848444,0,4172.21212079,0,4047.03030263,0,4220.1212117,0,4440.09090865,0,4217.54545412,0,4066.09090868,0,4196.93939352,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.600673,4088.24242383,3700.84848448,4239.18181776,4162.42424201,4279.87878745,1627.87878772,4084.12121171,0,4157.78787837,0,4091.84848444,0,4126.36363595,0,4173.75757534,0,4020.75757536,0,4228.36363594,0,4459.15151471,0,4224.24242382,0,4069.69696929,0,4210.33333291,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.603274,4084.63636323,3700.84848448,4258.24242382,4162.42424201,4280.39393897,1627.87878772,4085.15151474,1677.33333317,4157.78787837,0,4091.84848444,0,4131.5151511,0,4172.72727231,0,4016.63636323,0,4232.99999958,0,4449.87878743,0,4224.24242382,0,4073.3030299,0,4206.72727231,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.604095,4092.87878747,3700.84848448,4249.48484806,4162.42424201,4270.09090866,1627.87878772,4092.87878747,1677.33333317,4160.87878746,2023.51515131,4093.9090905,0,4139.75757534,0,4177.87878746,0,4025.39393899,0,4238.66666624,0,4436.48484804,0,4219.60606018,0,4077.93939353,0,4201.57575716,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.611480,4095.45454505,3700.84848448,4220.63636321,4162.42424201,4256.69696927,1627.87878772,4092.87878747,1677.33333317,4158.30302989,2023.51515131,4091.33333292,1079.75757565,4135.12121171,0,4177.36363595,0,4023.84848445,0,4232.48484806,0,4446.27272683,0,4219.09090867,0,4077.42424202,0,4205.18181776,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.618210,4087.2121208,3700.84848448,4212.39393897,4162.42424201,4261.84848442,1627.87878772,4079.48484808,1677.33333317,4156.75757534,2023.51515131,4089.78787838,1079.75757565,4128.93939353,3424.72727238,4170.66666625,0,4019.72727233,0,4220.1212117,0,4449.87878743,0,4218.06060564,0,4068.15151474,0,4199.5151511,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.626136,4082.06060565,3700.84848448,4223.21212079,4162.42424201,4269.57575715,1627.87878772,4078.96969656,1677.33333317,4155.2121208,2023.51515131,4093.9090905,1079.75757565,4136.15151474,3424.72727238,4170.15151473,1743.2727271,4021.27272687,0,4221.15151473,0,4444.72727228,0,4219.60606018,0,4061.45454505,0,4189.21212079,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.634115,4088.24242383,3700.84848448,4229.39393897,4162.42424201,4258.75757533,1627.87878772,4093.9090905,1677.33333317,4157.27272686,2023.51515131,4093.9090905,1079.75757565,4142.33333292,3424.72727238,4174.27272686,1743.2727271,4022.3030299,2419.15151491,4231.45454503,0,4450.90909046,0,4225.27272685,0,4068.15151474,0,4192.30302988,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.641114,4091.33333292,3700.84848448,4220.63636321,4162.42424201,4254.1212117,1627.87878772,4096.48484808,1677.33333317,4158.30302989,2023.51515131,4088.75757535,1079.75757565,4137.18181777,3424.72727238,4172.21212079,1743.2727271,4024.36363596,2419.15151491,4227.84848443,1751.51515134,4447.30302986,0,4217.54545412,0,4075.87878747,0,4196.93939352,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.649101,4094.42424201,3700.84848448,4207.75757534,4162.42424201,4261.84848442,1627.87878772,4102.66666626,1677.33333317,4155.72727231,2023.51515131,4092.36363595,1079.75757565,4136.66666625,3424.72727238,4172.21212079,1743.2727271,4032.6060602,2419.15151491,4226.8181814,1751.51515134,4445.2424238,1599.03030287,4217.54545412,0,4078.45454505,0,4196.93939352,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.657100,4107.30302989,3700.84848448,4226.8181814,4162.42424201,4289.66666624,1627.87878772,4123.78787838,1677.33333317,4161.90909049,2023.51515131,4099.57575717,1079.75757565,4143.36363595,3424.72727238,4184.57575716,1743.2727271,4047.54545414,2419.15151491,4251.54545412,1751.51515134,4475.12121167,1599.03030287,4243.81818139,1969.93939374,4094.93939353,0,4217.54545412,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.665096,4112.96969656,3700.84848448,4272.66666624,4162.42424201,4316.96969654,1627.87878772,4132.54545413,1677.33333317,4173.24242383,2023.51515131,4097.51515111,1079.75757565,4142.33333292,3424.72727238,4193.33333291,1743.2727271,4055.78787838,2419.15151491,4271.12121169,1751.51515134,4501.39393894,1599.03030287,4253.09090867,1969.93939374,4114.5151511,1145.69696958,4240.7272723,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.673107,4109.36363595,3700.84848448,4282.45454503,4162.42424201,4303.57575715,1627.87878772,4130.48484807,1677.33333317,4168.60606019,2023.51515131,4094.93939353,1079.75757565,4138.2121208,3424.72727238,4191.27272685,1743.2727271,4056.81818141,2419.15151491,4265.96969654,1751.51515134,4494.18181773,1599.03030287,4237.1212117,1969.93939374,4113.99999959,1145.69696958,4238.15151473,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.681104,4110.39393898,3700.84848448,4248.45454503,4162.42424201,4285.0303026,1627.87878772,4137.69696928,1677.33333317,4156.24242383,2023.51515131,4098.54545414,1079.75757565,4140.27272686,3424.72727238,4189.72727231,1743.2727271,4061.45454505,2419.15151491,4261.84848442,1751.51515134,4482.33333289,1599.03030287,4234.03030261,1969.93939374,4114.5151511,1145.69696958,4231.96969655,1458.90909076,42.0,42.0,?
2017-10-13 15:45:32.689107,4111.42424201,3700.84848448,4249.99999958,4162.42424201,4311.30302987,1627.87878772,4142.84848443,1677.33333317,4162.42424201,2023.51515131,4098.54545414,1079.75757565,4141.30302989,3424.72727238,4191.27272685,1743.2727271,4067.12121171,2419.15151491,4268.54545412,1751.51515134,4486.96969652,1599.03030287,4246.90909048,1961.6969695,4126.87878747,1145.69696958,4237.63636321,1458.90909076,42.0,42.0,?
